,Recency_scaled,Frequency_scaled,Monetary_scaled
227,1.1510601550880182,-0.3574356579108224,1.0480109304354746
964,0.7269766604830938,-0.9575655125719311,-0.8322417486295761
2045,-1.8298879095370246,0.39863854235322044,0.46301087407904207
1025,1.1753092478133484,-0.3574356579108224,-0.12978765823302868
4240,-0.8904103223900771,-0.3574356579108224,-0.04931169515280724
1289,-1.66254710329667,2.2945517223908314,3.587293253831634
2857,-0.06653409989322877,0.6684931049094501,0.14926378258499057
4032,0.6417407579535198,0.6684931049094501,-0.4117842121818329
2318,-0.4862036650068569,0.0683632502483415,0.23996293489671955
1189,-1.5258197090734964,0.6684931049094501,0.27766718681909786
2969,0.1755215605823765,0.6684931049094501,0.6138709680223098
1421,-1.8298879095370246,2.1202207758888867,1.3038868487244852
2218,0.1755215605823765,0.39863854235322044,0.7637002879347908
3428,1.0494112757934757,-0.3574356579108224,-1.218405507983966
1237,0.22553505329662737,-0.9575655125719311,-1.5265490377876187
4033,-2.0456277311068156,1.8128932665312854,0.758726095860001
183,-0.18213546454332855,0.0683632502483415,-0.10921358142278359
1566,-0.6613971550996363,0.8966518865917569,0.8229843564428586
4303,-0.29427296873669234,0.8966518865917569,0.16283724191963245
486,-0.29427296873669234,-0.3574356579108224,-0.5230175929640226
1027,-0.4261776810298884,0.39863854235322044,1.1051384401820799
3591,-0.06653409989322877,-0.3574356579108224,-0.7171044708713327
4335,-1.2217515086099677,-0.3574356579108224,-1.1078161803323248
1896,0.1755215605823765,0.0683632502483415,0.6472035073590319
139,0.41668498483660815,0.6684931049094501,1.0331765826274977
1163,0.5376239126285365,0.39863854235322044,-0.046246491423511046
2409,0.7081491162464905,0.39863854235322044,-0.15957703563459003
2067,1.5732403501180665,-0.9575655125719311,-0.3083005982380266
266,-1.5258197090734964,-0.3574356579108224,-0.12987879115240658
3604,0.18834109421317077,-0.9575655125719311,-1.0654735551649113
3593,0.8830777557429789,-0.3574356579108224,-0.16895711436857896
3704,-0.04888800443285016,-0.3574356579108224,-0.348886548005591
63,0.40725184843799567,-0.9575655125719311,0.06202983398514136
2213,1.5508528829799415,-0.9575655125719311,-0.4291507050904462
2577,-0.12210948056636005,-0.3574356579108224,-0.4874515130725472
2389,-0.37060230035675745,-0.3574356579108224,0.04605335426843227
1941,-0.16158830374125985,-0.9575655125719311,-0.6709398507155299
3898,0.12193273592020015,-0.3574356579108224,0.8108141930716537
2439,0.09363034100343133,-0.9575655125719311,-0.4932665292981702
3939,1.5732403501180665,-0.9575655125719311,-0.6838103990351698
1164,-0.4862036650068569,-0.9575655125719311,-0.9264708960677827
3519,-0.6613971550996363,-0.3574356579108224,-0.8335010335884657
