CustomerID,Recency,Frequency,Monetary,Recency_log,Frequency_log,Monetary_log
12346,326,1,77183.6,5.7899601708972535,0.6931471805599453,11.253955234248428
12347,2,7,4310.0,1.0986122886681098,2.0794415416798357,8.368925174747135
12348,75,4,1797.24,4.330733340286331,1.6094379124341003,7.494563687769957
12349,19,1,1757.55,2.995732273553991,0.6931471805599453,7.472244884833674
12350,310,1,334.40000000000003,5.739792912179234,0.6931471805599453,5.815323849389109
12352,36,8,2506.04,3.6109179126442243,2.1972245773362196,7.826858053356098
12353,204,1,89.0,5.3230099791384085,0.6931471805599453,4.499809670330265
12354,232,1,1079.4,5.4510384535657,0.6931471805599453,6.985086621918461
12355,214,1,459.40000000000003,5.3706380281276624,0.6931471805599453,6.132095676847728
12356,23,3,2811.43,3.1780538303479458,1.3862943611198906,7.941804157314053
12357,33,1,6207.67,3.5263605246161616,0.6931471805599453,8.733701981297274
12358,2,2,1168.06,1.0986122886681098,1.0986122886681098,7.063955286074528
12359,58,4,6310.03,4.07753744390572,1.6094379124341003,8.750054175177759
12360,52,3,2662.06,3.970291913552122,1.3862943611198906,7.887231116540211
12361,287,1,189.9,5.662960480135946,0.6931471805599453,5.251749730731702
12362,3,10,5226.2300000000005,1.3862943611198906,2.3978952727983707,8.56163678004062
12363,110,2,552.0,4.709530201312334,1.0986122886681098,6.315358001522335
12364,8,4,1313.1,2.1972245773362196,1.6094379124341003,7.180907299649593
12365,291,2,641.38,5.676753802268282,1.0986122886681098,6.465180028897591
12367,4,1,168.9,1.6094379124341003,0.6931471805599453,5.135210028677887
12370,51,4,3541.94,3.9512437185814275,1.6094379124341003,8.172712169921061
12371,45,2,1887.96,3.828641396489095,1.0986122886681098,7.543781692052325
12372,72,3,1298.04,4.290459441148391,1.3862943611198906,7.169380809114136
12373,311,1,364.6,5.7430031878094825,0.6931471805599453,5.901539839579995
12374,25,1,742.9300000000001,3.258096538021482,0.6931471805599453,6.6119469443852195
12375,11,2,457.5,2.4849066497880004,1.0986122886681098,6.127960291696519
12377,315,2,1628.1200000000001,5.755742213586912,1.0986122886681098,7.395795270713971
12378,130,1,4008.62,4.875197323201151,0.6931471805599453,8.29645175271804
12379,82,2,852.24,4.418840607796598,1.0986122886681098,6.749040867823617
12380,22,4,2724.81,3.1354942159291497,1.6094379124341003,7.910520910634419
12381,5,5,1845.31,1.791759469228055,1.791759469228055,7.520944331624911
12383,185,5,1850.56,5.225746673713202,1.791759469228055,7.523783805985769
12384,29,2,585.27,3.4011973816621555,1.0986122886681098,6.373780434317173
12386,338,2,401.9,5.82600010738045,1.0986122886681098,5.998688392197302
12388,16,6,2780.6600000000003,2.833213344056216,1.9459101490553132,7.930803150780257
12390,80,1,549.84,4.394449154672439,0.6931471805599453,6.311444385858925
12391,22,1,439.66,3.1354942159291497,0.6931471805599453,6.0882736030360425
